Shipment_ID,Shipment_Date,Origin_City,Destination_City,Distance_KM,Transport_Mode,Vehicle_Type,Weight_KG,Volume_CBM,Shipment_Type,Delivery_Days,Vendor_ID,Vendor_Name,Vendor_Rating,Vendor_Experience_Years,Base_Freight_Cost,Fuel_Cost,Toll_Cost,Handling_Cost,Other_Cost,Total_Freight_Cost,Invoice_ID,Invoice_Date,Invoice_Amount,Expected_Invoice_Amount,Payment_Status,Payment_Delay_Days,Cost_Difference,Cost_Difference_Percentage,Duplicate_Invoice_Flag,Invoice_Mismatch_Flag,Unusual_Cost_Flag,High_Risk_Vendor_Flag,Fraud_Risk_Score,Risk_Level
SHP000001,2025-09-02,Pune,Indore,783.8,Road,Mini Truck,741.5,2.52,Standard,4,VEN026,Pioneer Freight,,18.0,7091.34,1335.75,1278.42,345.97,89.78,10243.03,INV000001,2025-09-07,10316.55,10453.77,Pending,7,-137.22,-1.31,0,0,0,0,10.3,Low
SHP000002,2024-01-27,Pune,Lucknow,237.2,Road,Truck,2098.3,4.66,Fragile,3,VEN009,India Freight Network,3.3,3.0,5750.22,686.8,374.9,591.99,488.15,7865.6,INV000002,2024-02-03,5948.38,7673.77,Overdue,44,-1725.39,-22.48,0,1,0,1,49.3,Medium
SHP000003,2025-01-10,Chandigarh,Bengaluru,531.7,Road,Trailer,1404.9,,Standard,2,VEN028,SwiftCargo,3.1,9.0,10273.13,1865.36,803.87,459.98,284.36,13821.67,INV000003,2025-01-14,13976.17,13860.29,Paid,7,115.88,0.84,0,0,0,1,20.9,Low
SHP000004,2026-03-18,Pune,Hyderabad,1143.9,Road,Trailer,1341.7,4.63,Standard,6,VEN009,India Freight Network,3.3,3.0,15865.61,2768.87,967.01,482.24,280.86,22024.09,INV000004,2026-03-19,22035.59,22890.09,Paid,13,-854.5,-3.73,0,0,0,1,21.6,Low
SHP000005,2025-07-24,Bengaluru,Lucknow,772.6,Road,Trailer,222.3,1.75,Fragile,4,VEN014,NorthStar Logistics,4.6,5.0,11232.65,2105.6,986.83,283.62,253.56,14798.98,INV000005,2025-07-26,14447.95,14388.88,Paid,15,59.07,0.41,0,0,0,0,13.6,Low
SHP000006,2026-01-30,Kochi,Mumbai,901.4,Road,Truck,821.0,5.65,Standard,5,VEN020,TransNova,4.3,,10321.38,1571.82,770.9,318.69,845.91,15603.39,INV000006,2026-02-06,15279.99,15201.16,Pending,17,78.83,0.52,0,0,0,0,5.4,Low
SHP000007,2026-05-01,Hyderabad,Lucknow,1777.5,Road,Trailer,1102.5,6.52,Standard,7,VEN004,Delta Freight,4.4,25.0,23160.77,4123.47,2582.73,461.81,478.64,31145.46,INV000007,2026-05-07,29853.32,29974.19,Paid,6,-120.87,-0.4,0,0,0,0,5.4,Low
SHP000008,2025-12-18,Kolkata,Surat,1762.5,Road,Truck,448.0,2.29,Standard,8,VEN017,QuickHaul,4.1,9.0,16992.71,2984.59,2163.2,304.23,155.23,24498.3,INV000008,2025-12-20,26131.14,26205.89,Pending,31,-74.75,-0.29,0,0,0,0,12.5,Low
SHP000009,2025-09-10,Mumbai,Pune,2800.0,Road,LCV,1980.1,6.88,,11,VEN016,PrimeRoute Transport,3.5,13.0,30200.14,4285.31,3798.62,620.61,350.63,40161.52,INV000009,2025-09-11,39610.64,40435.03,Paid,15,-824.39,-2.04,0,0,0,0,0.0,Low
SHP000010,2024-11-16,Ahmedabad,Kochi,645.8,Rail,Container Wagon,1541.0,12.42,Bulk,3,VEN024,Zenith Carriers,4.8,21.0,7065.76,560.95,0.0,564.23,260.9,9149.46,INV000010,2024-11-18,9189.78,9329.48,Paid,0,-139.7,-1.5,0,0,0,0,2.1,Low
SHP000011,2025-04-23,Kochi,Chandigarh,1525.3,Rail,Container Wagon,1908.3,7.99,Express,6,VEN030,Urban Logistics,4.4,21.0,16493.96,1468.42,0.0,619.16,40.21,19299.99,INV000011,2025-04-26,18152.04,18340.69,Pending,7,-188.65,-1.03,0,0,0,0,3.2,Low
SHP000012,2024-03-12,Bengaluru,Kolkata,1019.3,Road,Truck,704.9,,Standard,5,VEN020,TransNova,4.3,18.0,10499.11,1303.63,1600.95,409.4,199.67,13968.27,INV000012,2024-03-18,14891.42,14759.0,Paid,4,132.42,0.9,0,0,0,0,0.0,Low
SHP000013,2025-06-03,Chennai,Nagpur,548.3,Air,Air Cargo Standard,914.8,11.47,Standard,2,VEN013,Metro Cargo,4.3,13.0,23266.05,1930.9,0.0,496.18,445.39,26787.51,INV000013,2025-06-08,27602.2,27407.4,Paid,18,194.8,0.71,0,0,0,0,0.0,Low
SHP000014,2026-05-27,Bengaluru,Delhi,1547.0,Road,Trailer,510.5,2.34,Express,7,VEN013,Metro Cargo,4.3,13.0,24090.48,4438.5,1501.21,341.63,463.5,31429.01,INV000014,2026-05-31,32599.68,32061.52,Paid,10,538.16,1.68,0,0,0,0,6.9,Low
SHP000015,2024-05-13,Mumbai,Ahmedabad,924.6,Road,,586.1,1.9,Fragile,5,VEN013,Metro Cargo,4.3,13.0,15201.57,2101.99,1363.18,326.91,166.39,19083.63,INV000015,2024-05-16,18708.04,18663.93,Paid,1,44.11,0.24,0,0,0,0,10.5,Low
SHP000016,2025-03-20,Lucknow,Jaipur,1400.3,Road,Truck,1664.8,9.6,Standard,6,VEN025,Orbit Logistics,4.6,17.0,14472.58,1984.63,1684.53,657.43,251.73,20113.5,INV000016,2025-03-27,20023.69,20151.46,Paid,3,-127.77,-0.63,0,0,0,0,1.4,Low
SHP000017,2026-03-20,Kolkata,Chennai,1273.3,Road,Mini Truck,203.7,2.08,Express,6,VEN010,JetMove Logistics,3.9,13.0,12731.46,1428.1,1681.91,282.67,378.48,17584.15,INV000017,2026-03-24,16675.12,16745.51,Paid,18,-70.39,-0.42,0,0,0,0,3.3,Low
SHP000018,2024-11-16,Indore,Bengaluru,631.2,Road,LCV,882.6,,Standard,3,VEN006,FastTrack Logistics,5.0,9.0,6055.4,1080.1,1027.24,430.49,124.6,9349.51,INV000018,2024-11-21,7199.76,9288.13,Paid,10,-2088.37,-22.48,0,1,0,0,40.1,Medium
SHP000019,2025-06-14,Pune,Mumbai,1146.2,Road,Trailer,1857.4,8.71,,5,VEN011,Kinetic Transport,3.7,21.0,14865.18,2723.52,1129.14,639.08,149.81,18653.27,INV000019,2025-06-21,17944.13,18592.11,Paid,13,-647.98,-3.49,0,0,0,0,2.0,Low
SHP000020,2025-11-30,Lucknow,Nagpur,1598.3,Road,Truck,1520.3,,Standard,8,VEN001,Apex Logistics,4.5,24.0,20041.85,3704.19,2455.28,680.47,266.1,28525.3,INV000020,2025-12-01,27624.88,27576.65,Paid,8,48.23,0.17,0,0,0,0,4.9,Low
SHP000021,2025-12-10,Mumbai,Lucknow,1587.6,Rail,Cargo Wagon,6837.8,53.16,,7,VEN004,Delta Freight,4.4,,18515.92,1584.87,0.0,2363.34,252.72,21153.82,INV000021,2025-12-15,20817.04,20879.85,Paid,13,-62.81,-0.3,0,0,0,0,9.4,Low
SHP000022,2025-08-26,Kolkata,Indore,964.1,Road,Truck,1626.7,11.64,Standard,5,VEN003,CargoLink India,4.7,10.0,14092.7,2049.83,785.42,612.04,70.21,17237.83,INV000022,2025-09-01,17400.84,17209.27,Overdue,35,191.57,1.11,0,0,0,0,11.3,Low
SHP000023,2024-02-26,Pune,Chennai,1017.6,Road,Mini Truck,209.7,2.91,Standard,5,VEN024,Zenith Carriers,4.8,21.0,9737.21,1290.93,977.13,291.2,52.59,13465.15,INV000023,2024-02-29,10352.7,13355.61,Paid,6,-3002.91,-22.48,0,1,0,0,40.0,Medium
SHP000024,2024-02-07,Delhi,Bengaluru,1008.1,Road,Truck,5018.3,58.28,Bulk,5,VEN022,Velocity Logistics,,12.0,16453.74,2734.09,1217.61,1263.83,233.55,21608.68,INV002541,2024-02-13,22409.65,22061.45,Paid,8,348.2,1.58,1,0,0,0,31.6,Medium
SHP000025,2025-11-10,Pune,Jaipur,865.9,Road,Truck,830.0,11.73,Express,5,VEN021,United Freight,4.5,24.0,14398.8,1865.48,1119.64,525.87,1225.98,20972.01,INV000025,2025-11-15,21381.09,21362.81,Paid,0,18.28,0.09,0,0,0,0,0.0,Low
SHP000026,2026-05-12,Ahmedabad,Kochi,382.9,Road,Truck,413.8,2.24,Bulk,3,VEN014,NorthStar Logistics,4.6,5.0,5813.03,963.16,399.99,348.36,6.38,7752.73,INV000026,2026-05-16,7847.81,7827.95,Paid,3,19.86,0.25,0,0,0,0,8.0,Low
SHP000027,2024-08-28,Pune,Indore,294.8,Road,Mini Truck,2368.5,10.83,Standard,2,VEN022,Velocity Logistics,,12.0,6640.17,1141.15,448.19,699.96,57.83,8674.16,INV000027,2024-08-30,9180.48,9088.2,Paid,5,92.28,1.02,0,0,0,0,8.6,Low
SHP000028,2025-05-15,Ahmedabad,Chennai,2007.4,Road,Mini Truck,2700.9,21.89,Express,8,VEN005,ExpressHaul,3.2,11.0,23333.27,2399.59,2334.08,857.68,247.14,31569.53,INV000028,2025-05-20,24425.98,31511.01,Paid,14,-7085.03,-22.48,0,1,0,1,40.3,Medium
SHP000029,2024-03-05,Indore,Pune,638.5,Road,Trailer,5184.3,26.84,Express,4,VEN028,SwiftCargo,3.1,9.0,17483.53,3000.89,579.7,997.02,230.74,22068.54,INV000029,2024-03-09,22502.04,21817.42,Paid,12,684.62,3.14,0,0,0,1,13.2,Low
SHP000030,2024-06-18,Indore,Kolkata,737.2,Road,Truck,2306.1,11.19,Standard,4,VEN016,PrimeRoute Transport,3.5,13.0,10029.43,1841.16,622.93,,75.24,12952.54,INV000030,2024-06-20,12530.75,12660.32,Paid,18,-129.57,-1.02,0,0,0,0,6.1,Low
SHP000031,2025-03-12,Delhi,Indore,871.4,Road,LCV,1006.6,10.07,Standard,5,VEN029,Titan Transport,3.3,20.0,10153.54,1570.36,988.58,419.01,91.1,12613.76,INV000031,2025-03-15,12685.9,12894.51,Paid,17,-208.61,-1.62,0,0,0,1,17.2,Low
